id,prompt_type,prompt,response_file,graph_file,code_status
2867@x_name@ASC_1,cze_queries,"Zobraz názvy regionů a počet bouří pro každý region pomocí sloupcového grafu, zobrazeného vzestupně podle osy X.",responses_cze\2867@x_name@ASC_1_cze_queries.txt,graphs_cze\2867@x_name@ASC_1_cze_queries.png,✅ Graf uložen
2867@x_name@ASC_2,cze_queries,"Ukaž mi sloupcový graf o tom, kolik bouří se vyskytlo v jednotlivých regionech, a chci je seřadit vzestupně podle jmen.",responses_cze\2867@x_name@ASC_2_cze_queries.txt,,❌ Žádný kód nenalezen
2985@y_name@DESC_1,cze_queries,"Najdi popisy typů transakcí a jejich data. Pokud je počet akcií přepočítán, seskup podle typu transakce, spočítej datum transakce a datum rozděl do intervalu dnů v týdnu. Zobraz ve sloupcovém grafu. Chci zobrazit osu y od nejvyššího po nejnižší pořadí.",responses_cze\2985@y_name@DESC_1_cze_queries.txt,,❌ Žádný kód nenalezen
3198_1,cze_queries,"Vypiš státy všech hlasování, vypočítej celkový počet států a znázorni poměr pomocí koláčového grafu.",responses_cze\3198_1_cze_queries.txt,graphs_cze\3198_1_cze_queries.png,✅ Graf uložen
868_1,cze_queries,Zjisti data objednávek s cenou nad 21 750 a spočítej je pomocí čárového grafu,responses_cze\868_1_cze_queries.txt,graphs_cze\868_1_cze_queries.png,✅ Graf uložen
868_2,cze_queries,Jaká jsou data objednávek s cenou vyšší než 21 750 a spočítej je pomocí čárového grafu,responses_cze\868_2_cze_queries.txt,,❌ Žádný kód nenalezen
868_3,cze_queries,Čárový graf pro zjištění počtu dat objednávek s cenou nad 21 750.,responses_cze\868_3_cze_queries.txt,graphs_cze\868_3_cze_queries.png,✅ Graf uložen
868_4,cze_queries,"Čárový graf o tom, jaký je počet dat objednávek s cenou vyšší než 21 750?",responses_cze\868_4_cze_queries.txt,graphs_cze\868_4_cze_queries.png,✅ Graf uložen
883_1,cze_queries,"Uveď popisy typů služeb, které stojí více než 2 175, a spočítej je pomocí koláčového grafu",responses_cze\883_1_cze_queries.txt,graphs_cze\883_1_cze_queries.png,✅ Graf uložen
883_2,cze_queries,"Koláčový graf o tom, kolik je popisů typů služeb s cenou produktu nad 2 175.",responses_cze\883_2_cze_queries.txt,graphs_cze\883_2_cze_queries.png,✅ Graf uložen
883_3,cze_queries,"Koláčový graf, který mi poskytne počet popisů typů služeb, které stojí více než 2 175.",responses_cze\883_3_cze_queries.txt,graphs_cze\883_3_cze_queries.png,✅ Graf uložen
883_4,cze_queries,Jaké jsou popisy typů služeb s cenou produktu nad 2 175 a spočítej je pomocí koláčového grafu,responses_cze\883_4_cze_queries.txt,graphs_cze\883_4_cze_queries.png,✅ Graf uložen
